Site,Gauge,Lat,Long
Carrie Murray Nature Center,WXCMNC_RG1,39.30724722,-76.69507222
Carrie Murray Nature Center,WXCMNC_RG2,39.30724722,-76.69507222
Carroll Park Golf Course ,WXCPGC_RG1,39.27359167,-76.64858611
Carroll Park Golf Course ,WXCPGC_RG2,39.27359167,-76.64858611
Dead Run near Catonsville,WXDRNC_RG1,39.29588611,-76.74402778
Dead Run near Catonsville,WXDRNC_RG2,39.29588611,-76.74402778
Glyndon Elementary School,WXGFGL_RG1,39.46822222,-76.8105
Glyndon Elementary School,WXGFGL_RG2,39.46822222,-76.8105
Gwynns Falls Near Delight,WXGFND_RG1,39.44389167,-76.78266944
Gwynns Falls Near Delight,WXGFND_RG2,39.44389167,-76.78266944
McDonogh School,WXMCDO_RG1,39.39633611,-76.77140833
McDonogh School,WXMCDO_RG2,39.39633611,-76.77140833
Oregon Ridge Park,WXORDG_RG1,39.49656944,-76.68900556
Oregon Ridge Park,WXORDG_RG2,39.49656944,-76.68900556
UMBC Campus,WXUMBC_RG1,39.2543,-76.70233889
UMBC Campus,WXUMBC_RG2,39.2543,-76.70233889
