Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,8.8183,9.6658,8.7925,21.3911,23.5044,87.6987,31.653,85.6554,48.8146,3.5581,4.3236,1.1257,2.0806,,,,,,,,,,,,,,,,,,
BA3SF1A,,3.3351,,4.5426,6.92,8.9373,2.867,29.2062,6.1764,1.8881,1.5373,0.4778,1.2799,0.0,3.6332,3.7714,,,,,,,,,,,,,,,
BA3SF1B,,3.1632,,,7.0249,33.7445,11.0916,34.6797,10.449,2.6549,1.4742,1.0543,0.5071,0.0,4.1327,10.8573,,,,,,,,,,,,,,,
BA3SF1L,0.0,3.1523,4.1489,9.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,0.0,0.0,6.3191,11.368,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,1.1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,0.7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,0.4238,0.5356,,0.6563,0.7965,0.6452,1.9252,1.8263,2.5436,0.21,0.6381,0.0465,1.2652,,,0.4743,,,,,,,,,,,,,,,
BA3SF3B,0.4493,2.1358,,4.1825,4.4706,14.7358,6.4526,14.4151,13.8928,1.7401,1.0662,0.3508,0.5074,,,1.7639,,,,,,,,,,,,,,,
BA5AJC1,,,1.2737,,,,,14.0537,11.0247,1.3919,0.5773,2.6818,0.2209,0.6331,0.419,,1.7705,1.8318,4.0468,3.767,2.51,,,,,,,,,,
BA5AJC2,,,10.8546,,,,,52.0353,37.3864,7.299,7.1712,6.6736,4.3749,0.0,0.9152,,49.3858,11.8133,13.5798,52.9231,30.8748,0.0,,,,,,,,,
DR5,,,,,,,,,,0.0,,,0.9568,,4.086,12.0929,24.5397,12.0329,19.5677,,,0.0,25.3666,4.4336,0.0,32.3333,113.9287,106.9644,13.3516,1.6157,0.0606
DR5GP,,,,,,,,,,,,,0.0,,0.0314,0.4028,2.3965,0.0214,0.0,,,,0.3323,0.0,,0.7852,0.5188,0.516,0.0,0.0,0.0
DR5KM,,,,,,,,,,0.0,,,2.8256,,6.2588,11.8654,13.7376,8.918,11.5664,,,0.0,14.0206,4.1517,0.0,33.1269,77.3754,47.7808,14.3557,2.9888,0.7929
